eps,green_threshold,max_radius,matching_score
2.0,0.3,3.5,0.6571428571428571
1.0,0.05,1.5,0.24285714285714285
1.0,0.08,1.5,0.0
0.5,0.05,1.5,0.07142857142857142
0.5,0.03,1.5,0.34285714285714286
0.5,0.08,1.5,0.0
1.0,0.03,1.5,0.6857142857142857
2.5,0.03,2.0,0.6285714285714286
2.5,0.05,2.0,0.42857142857142855
2.5,0.08,2.0,0.014285714285714285
1.0,0.03,1.0,0.6857142857142857
1.0,0.03,2.0,0.6857142857142857
1.0,0.025,1.5,0.6571428571428571
1.5,0.03,2.0,0.6857142857142857
1.5,0.03,1.5,0.6857142857142857
1.0,0.02,1.5,0.7
0.75,0.02,1.5,0.6285714285714286
1.25,0.03,1.5,0.6857142857142857
1.25,0.02,1.5,0.7
1.0,0.015,1.5,0.7428571428571429
1.0,0.01,1.5,0.7428571428571429
1.0,0.012,1.5,0.7571428571428571
1.25,0.015,1.5,0.6857142857142857
1.0,0.008,1.5,0.7142857142857143
1.25,0.01,1.5,0.6857142857142857
1.0,0.005,1.5,0.7285714285714285
1.0,0.012,1.5,0.7142857142857143
1.0,0.012,1.5,0.7142857142857143
1.0,0.012,1.5,0.7285714285714285
1.0,0.012,1.5,0.7285714285714285
1.0,0.011,1.5,0.7285714285714285
1.0,0.013,1.5,0.7571428571428571
1.1,0.012,1.5,0.7142857142857143
