1.0,0.012,1.5,70,0.7142857142857143
1.0,0.012,1.5,30,0.7285714285714285
1.0,0.012,1.5,40,0.7285714285714285
1.0,0.011,1.5,55,0.7285714285714285
2.0,0.012,1.5,70,0.6142857142857143
2.0,0.012,1.5,70,0.6142857142857143
2.0,0.012,1.5,70,0.6142857142857143
2.0,0.012,1.5,70,0.4714285714285714
2.0,0.02,2.7,100,0.6142857142857143
3.0,0.07,2.7,100,0.02857142857142857
3.0,0.04,2.7,100,0.44285714285714284
2.0,0.04,2.7,80,0.4714285714285714
2.3,0.04,2.7,90,0.4714285714285714
2.0,0.04,2.7,60,0.5
2.0,0.03,2.7,60,0.6571428571428571
2.0,0.03,2.7,60,0.5571428571428572
2.0,0.03,2.7,60,0.6571428571428571
2.0,0.03,2.7,60,0.6571428571428571,True
2.0,0.035,2.7,50,0.6571428571428571,True
2.0,0.035,2.7,50,0.6571428571428571,True
2.0,0.03,2.7,50,0.6571428571428571,True
2.0,0.03,2.7,50,0.5714285714285714,True
2.0,0.03,2.7,50,0.5714285714285714,True
2.0,0.038,2.7,50,0.5571428571428572,True
2.0,0.038,3.5,50,0.6142857142857143,True
2.0,0.03,3.5,50,0.7,True
2.0,0.028,3.5,50,0.7,True
2.0,0.025,3.5,50,0.7428571428571429,True
2.0,0.025,3.5,50,0.7428571428571429,True
2.0,0.025,3.5,50,0.7428571428571429,True
2.0,0.025,3.5,50,0.6714285714285714,True
2.0,0.025,3.5,50,0.7142857142857143,True
2.0,0.025,3.5,50,0.7428571428571429,True
2.0,0.025,4.0,50,0.8142857142857143,True
